Timestamp	Filename	Error	Message
2012-12-06 11:04:31.987 +0700	newWin MoveWindow ( position , technique , direction )::13::Set Variable	106	Table referred to in the calculation “/*- Slow = 15- Normal = 30- Fast = 50*/Case(Example::gSpeed = "Slow"; 15;Example::gSpeed = "Normal"; 30;Example::gSpeed = "Fast"; 50)” is missing.
2012-12-06 11:04:32.030 +0700	newWin MoveWindow ( position , technique , direction )::32::Perform Script	104	Script “Utl - RefreshWindow” missing.
2012-12-06 11:04:32.110 +0700	newWin MoveWindow ( position , technique , direction )::48::Perform Script	104	Script “Utl - RefreshWindow” missing.
2012-12-06 11:04:32.142 +0700	newWin MoveWindow ( position , technique , direction )::58::Perform Script	104	Script “Utl - RefreshWindow” missing.
2012-12-06 11:04:32.170 +0700	newWin MoveWindow ( position , technique , direction )	0	script steps imported : 61
2012-12-06 11:04:32.178 +0700	Setup.fmp12	0	Import completed
2012-12-06 11:05:46.975 +0700	Setup.fmp12	0	Import of script steps from clipboard started
2012-12-06 11:05:47.005 +0700	RefreshWindow	0	script steps imported : 3
2012-12-06 11:05:47.021 +0700	Setup.fmp12	0	Import completed
2012-12-06 11:11:38.147 +0700	Setup.fmp12	0	Import of script steps from clipboard started
2012-12-06 11:11:38.170 +0700	check_Trial_Expired	0	script steps imported : 1
2012-12-06 11:11:38.178 +0700	Setup.fmp12	0	Import completed
2012-12-06 16:20:58.823 +0700	Setup.fmp12	0	Import of script steps from clipboard started
2012-12-06 16:20:58.834 +0700	check_Trial_Expired	0	script steps imported : 1
2012-12-06 16:20:58.842 +0700	Setup.fmp12	0	Import completed
2012-12-06 16:22:19.714 +0700	Setup.fmp12	0	Import of script steps from clipboard started
2012-12-06 16:22:19.728 +0700	check_Trial_Expired	0	script steps imported : 1
2012-12-06 16:22:19.736 +0700	Setup.fmp12	0	Import completed
2012-12-07 09:12:31.230 +0700	Setup.fmp12	0	Import of script steps from clipboard started
2012-12-07 09:12:31.235 +0700	check_Trial_Expired	0	script steps imported : 1
2012-12-07 09:12:31.242 +0700	Setup.fmp12	0	Import completed
2012-12-07 10:02:01.569 +0700	Setup.fmp12	0	Import of script steps from clipboard started
2012-12-07 10:02:01.592 +0700	trial_nextHandler	0	script steps imported : 1
2012-12-07 10:02:01.599 +0700	Setup.fmp12	0	Import completed
2012-12-07 10:02:11.066 +0700	Setup.fmp12	0	Import of script steps from clipboard started
2012-12-07 10:02:11.097 +0700	trial_nextHandler	0	script steps imported : 2
2012-12-07 10:02:11.103 +0700	Setup.fmp12	0	Import completed
2012-12-07 10:44:47.544 +0700	Setup.fmp12	0	Import of script steps from clipboard started
2012-12-07 10:44:47.570 +0700	trial_nextHandler	0	script steps imported : 1
2012-12-07 10:44:47.577 +0700	Setup.fmp12	0	Import completed
2012-12-07 10:48:03.941 +0700	Setup.fmp12	0	Import of script steps from clipboard started
2012-12-07 10:48:03.964 +0700	Initial	0	script steps imported : 1
